City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Rain inches (past 3 hours),Snow inches (past 3 hours)
174,Hun,LY,29.13,15.95,76.08,76.08,17,74,12.59,0,0
175,Tiksi,RU,71.69,128.87,21.29,21.29,95,0,3.96,0,0
176,Mayumba,GA,-3.43,10.66,78.39,78.39,89,73,3.49,0,0
177,Sabang,ID,5.89,95.32,79.56,79.56,86,100,10.22,0,0
178,Labuhan,ID,-6.88,112.21,76.35,76.35,87,90,3.96,0,0
179,Valdosta,US,30.83,-83.28,75.2,72.0,33,1,12.75,0,0
180,Taltal,CL,-25.4,-70.48,60.57,60.57,76,79,1.99,0,0
181,Kahului,US,20.89,-156.47,80.6,73.0,61,40,21.92,0,0
182,Linguere,SN,15.4,-15.12,89.94,89.94,18,99,17.65,0,0
183,Cavalcante,BR,-13.8,-47.46,65.48,65.48,88,79,7.38,0,0
184,Caravelas,BR,-17.71,-39.25,71.51,71.51,71,16,8.99,0,0
185,Waddan,LY,29.16,16.14,76.03,76.03,17,75,13.98,0,0
186,Kennewick,US,46.21,-119.14,82.4,80.01,23,1,5.82,0,0
187,Damaturu,NG,11.75,11.96,89.08,89.08,25,76,0.98,0,0
188,Dingle,PH,11.0,122.67,81.36,81.36,76,91,6.2,0,0
189,Aksu,CN,41.12,80.26,65.48,65.48,38,96,4.21,0,0
190,Kapoeta,SS,4.77,33.59,79.75,79.75,60,47,1.05,0,0
191,Constitucion,CL,-35.33,-72.42,55.81,55.81,92,19,2.51,0,0
192,Bialystok,PL,53.13,23.15,45.0,45.0,57,33,35.01,0,0
193,Kangaba,ML,11.93,-8.42,89.24,89.24,40,7,6.17,0,0
194,Safford,US,32.83,-109.71,95.0,95.0,12,1,16.11,0,0
195,Yining,CN,29.04,114.56,63.01,63.01,84,1,0.89,0,0
196,Ukiah,US,39.15,-123.21,91.4,75.99,15,1,10.29,0,0
