City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Shache,CN,2020-05-06 09:36:52,38.42,77.24,61.66,59,100,5.48
157,Severo-Kurilsk,RU,2020-05-06 09:36:52,50.68,156.12,33.67,90,98,21.36
158,Usogorsk,RU,2020-05-06 09:36:53,63.41,48.69,47.61,93,100,9.73
159,Kenmare,IE,2020-05-06 09:36:53,51.88,-9.58,51.8,87,75,13.87
160,Bundaberg,AU,2020-05-06 09:36:53,-24.85,152.35,70.0,60,4,8.05
161,Iqaluit,CA,2020-05-06 09:36:53,63.75,-68.51,3.2,77,20,4.7
162,Tongren,CN,2020-05-06 09:36:53,27.72,109.19,69.84,88,98,3.96
163,Codrington,AU,2020-05-06 09:36:53,-38.27,141.97,58.15,48,100,13.31
164,Bilibino,RU,2020-05-06 09:36:53,68.05,166.44,22.23,91,100,2.57
165,Ribeira Grande,PT,2020-05-06 09:36:54,38.52,-28.7,62.6,88,75,8.05
166,Vanavara,RU,2020-05-06 09:36:54,60.34,102.28,38.5,90,100,7.27
167,Kolaras,IN,2020-05-06 09:36:54,25.23,77.6,102.78,10,85,10.96
168,Port Alfred,ZA,2020-05-06 09:36:54,-33.59,26.89,70.5,68,92,12.39
169,Lata,PT,2020-05-06 09:36:54,40.16,-8.33,70.0,66,99,3.0
170,Lagoa,PT,2020-05-06 09:36:55,39.05,-27.98,61.03,88,89,9.98
171,Pevek,RU,2020-05-06 09:36:55,69.7,170.31,25.93,87,100,10.51
172,Mendoza,AR,2020-05-06 09:36:55,-32.89,-68.83,39.2,86,0,2.28
173,Sept-Iles,CA,2020-05-06 09:36:55,50.2,-66.38,48.2,61,75,5.82
174,Bodden Town,KY,2020-05-06 09:36:55,19.28,-81.25,82.0,77,100,3.0
175,Bathsheba,BB,2020-05-06 09:36:56,13.22,-59.52,80.6,74,75,20.8
176,Samos,GR,2020-05-06 09:36:56,37.76,26.98,68.0,72,75,9.17
177,Sola,VU,2020-05-06 09:36:56,-13.88,167.55,82.36,67,16,0.67
178,Namsos,NO,2020-05-06 09:36:56,64.47,11.5,43.0,80,75,18.34
179,Sambava,MG,2020-05-06 09:36:56,-14.27,50.17,82.99,67,5,11.65
180,Santa Fe,AR,2020-05-06 09:32:37,-31.63,-60.7,48.99,86,0,3.0
181,Marigot,MF,2020-05-06 09:36:57,18.07,-63.08,80.6,78,40,11.41
182,Pudozh,RU,2020-05-06 09:36:57,61.81,36.53,46.35,89,100,5.48
183,Mareeba,AU,2020-05-06 09:36:57,-17.0,145.43,73.4,78,90,16.11
184,Plettenberg Bay,ZA,2020-05-06 09:36:57,-34.05,23.37,68.49,67,31,5.39
185,Sao Gabriel Da Cachoeira,BR,2020-05-06 09:36:58,-0.13,-67.09,73.63,98,100,0.4
186,Alenquer,BR,2020-05-06 09:36:58,-1.94,-54.74,77.0,100,90,9.17
187,Tual,ID,2020-05-06 09:34:39,-5.67,132.75,83.95,79,8,18.32
188,Medicine Hat,CA,2020-05-06 09:36:58,50.05,-110.67,50.0,46,1,17.22
189,Igarka,RU,2020-05-06 09:36:58,67.47,86.58,30.29,99,97,8.48
190,Aasiaat,GL,2020-05-06 09:36:58,68.71,-52.87,22.17,90,0,3.62
191,Narsaq,GL,2020-05-06 09:36:58,60.92,-46.05,41.0,80,75,6.62
192,Geraldton,AU,2020-05-06 09:36:59,-28.77,114.6,66.2,45,90,17.22
193,Los Llanos De Aridane,ES,2020-05-06 09:36:59,28.66,-17.92,69.8,64,20,6.93
194,Sakakah,SA,2020-05-06 09:32:35,29.97,40.21,73.4,28,0,21.92
195,Santa Cruz Cabralia,BR,2020-05-06 09:36:59,-16.28,-39.02,69.8,88,20,3.36
196,Saint Anthony,US,2020-05-06 09:33:05,45.02,-93.22,50.0,70,75,6.93
197,Bonavista,CA,2020-05-06 09:37:00,48.65,-53.11,34.0,84,100,4.0
198,Leningradskiy,RU,2020-05-06 09:37:00,69.38,178.42,17.17,91,28,7.34
199,Kalawit,PH,2020-05-06 09:37:00,8.07,122.52,83.86,73,51,3.62
