City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
529,Cabra,ES,60.01,37.47,-4.44,MS Fuente Las Piedras
530,Hecun,CN,60.44,36.53,114.11,Heibei Cifeng Business Hotel
531,Karaton,ID,80.6,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
532,Camargo,MX,82.99,27.67,-105.17,Hotel Santa Fe
533,Guymon,US,77.0,36.68,-101.48,Holiday Inn Express & Suites Guymon
534,San Juan,AR,68.68,-31.54,-68.54,Hotel Provincial
535,Punta De Bombon,PE,66.47,-17.17,-71.79,Hotel Bedregal
538,Niquero,CU,83.82,20.04,-77.58,
539,Cayenne,GF,77.0,4.93,-52.33,Hôtel Le Dronmi
540,Iranshahr,IR,89.6,27.2,60.68,کافی نت دانشگاه
541,Arlit,NE,88.0,18.74,7.39,Hôtel Telwa Bungalow
543,Faanui,PF,81.3,-16.48,-151.75,InterContinental Bora Bora Resort Thalasso Spa
544,Sambava,MG,74.48,-14.27,50.17,Melrose
545,Oranjemund,,67.84,-28.55,16.43,Shepherd Lodge
546,Dongtai,CN,66.0,32.85,120.31,Super 8 Dongtai South Hailing Road
549,Tecoanapa,MX,87.62,16.52,-98.75,Cabañas El Papalote Ecologico
