City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
165,Esmeralda,CU,78.8,21.85,-78.12,campismo las palmas
167,Awjilah,LY,68.36,29.11,21.29,استراحة التعاون أوجلة
170,Hambantota,LK,80.8,6.12,81.12,Bungalow 63
172,Buraydah,SA,80.6,26.33,43.98,Mövenpick Hotel Qassim
174,Hun,LY,76.08,29.13,15.95,Alrwasi Hotel
176,Mayumba,GA,78.39,-3.43,10.66,LIKWALE LODGE
177,Sabang,ID,79.56,5.89,95.32,Gapang Beach Resort
178,Labuhan,ID,76.35,-6.88,112.21,bador sepret
179,Valdosta,US,75.2,30.83,-83.28,Courtyard by Marriott Valdosta
180,Taltal,CL,60.57,-25.4,-70.48,Residencial Karime
181,Kahului,US,80.6,20.89,-156.47,Maui Seaside Hotel
182,Linguere,SN,89.94,15.4,-15.12,Centre Amadou Seck - Linguere
183,Cavalcante,BR,65.48,-13.8,-47.46,Pousada Vila dos Ipês
184,Caravelas,BR,71.51,-17.71,-39.25,Pousada dos Navegantes
185,Waddan,LY,76.03,29.16,16.14,محل الشريف محمد العايب
186,Kennewick,US,82.4,46.21,-119.14,Holiday Inn Express & Suites Pasco-Tricities
187,Damaturu,NG,89.08,11.75,11.96,MB
188,Dingle,PH,81.36,11.0,122.67,Oyo 236 Hotel Edmundo
189,Aksu,CN,65.48,41.12,80.26,Pudong Holiday Hotel
190,Kapoeta,SS,79.75,4.77,33.59,Eastgate Hotel
193,Kangaba,ML,89.24,11.93,-8.42,Hôtel Mandé
195,Yining,CN,63.01,29.04,114.56,Xiushui Hotel
197,Thoen,TH,78.94,17.61,99.22,Nakornthoen Hotel
201,Bay Point,US,87.01,38.03,-121.96,Hampton Inn & Suites Pittsburg
202,Taganak,PH,80.6,6.08,118.3,
203,Kavieng,PG,85.32,-2.57,150.8,Nusa Island Retreat
208,Maceio,BR,80.6,-9.67,-35.74,Hotel Ponta Verde Maceió
211,Sinnai,IT,66.2,39.3,9.2,Best Western Hotel Residence Italia
213,Kavaratti,IN,85.35,10.57,72.64,Bismillah Hotel And Lodging
216,Garissa,KE,78.26,-0.45,39.64,Almond Resort
217,Keelung,TW,84.0,25.13,121.74,East Coast Star Boutique Hotel
219,Port Blair,IN,82.53,11.67,92.75,Hotel Sentinel
220,Hurghada,EG,75.2,27.26,33.81,Sea Star Beau Rivage Hotel
221,Plettenberg Bay,ZA,66.33,-34.05,23.37,Thanda Vista B&B
223,Kabompo,ZM,60.94,-13.59,24.2,Faroja City Iyindeko Cas-jay
225,Yendi,GH,82.13,9.44,-0.01,Eyarro Lodge
226,Lugazi,UG,69.8,0.38,32.92,Jabulani Motel
228,Unai,BR,65.84,-16.36,-46.91,Hotel Regente
229,Santa Cruz,BO,75.2,-17.8,-63.17,Hotel Cortez
230,Guaruja,BR,66.2,-23.99,-46.26,Charme Hotel Guarujá
231,Mackay,AU,72.0,-21.15,149.2,Windmill Motel and Reception Centre
234,Lumberton,US,64.4,34.62,-79.01,"Country Inn & Suites by Radisson, Lumberton, NC"
236,Grand Gaube,MU,71.01,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
239,Najran,SA,77.0,17.49,44.13,فندق حياة نجران
241,Manta,EC,84.2,-0.95,-80.73,Balandra Hotel
242,Beloha,MG,65.62,-25.17,45.05,
244,Labuan,MY,80.6,5.28,115.24,Tiara Labuan Hotel
245,Pochutla,MX,89.6,15.74,-96.47,La Cabaña
247,Dhidhdhoo,MV,84.67,6.88,73.1,Hideaway Beach Resort & Spa Maldives
249,Maragogipe,BR,80.6,-12.78,-38.92,Hotel Maragogipe
251,Umm Kaddadah,SD,81.72,13.6,26.69,
252,Meulaboh,ID,77.0,4.14,96.13,Kost Pria
253,Mweka,CD,71.19,-4.85,21.57,
254,Camocim,BR,78.12,-2.9,-40.84,Hotel Ilha do Amor
256,Russell,US,69.8,32.35,-85.2,Macs
